IPS,SNIW,Emp. Bernstein for CIPS,ESLB,Implicit Exploration Bound,L = 1 Emp. SM for CIPS,LS Bound
BETTER,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER
BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER
BETTER,BEST,BETTER,BETTER,BETTER,BETTER,BETTER
BETTER,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER
BEST,BEST,BETTER,BETTER,BETTER,BETTER,BEST
BEST,WORSE,BETTER,BETTER,BEST,BETTER,BEST
BETTER,BEST,BETTER,BETTER,BETTER,BETTER,BETTER
WORSE,BEST,BETTER,BETTER,BEST,BETTER,BEST
WORSE,BEST,BETTER,BETTER,BEST,BETTER,BEST
BETTER,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER
