IPS,SNIW,Emp. Bernstein for CIPS,ESLB,Implicit Exploration Bound,L = 1 Emp. SM for CIPS,LS Bound
BEST,BEST,BETTER,BETTER,BEST,BEST,BEST
BEST,BEST,BETTER,BETTER,BEST,BEST,BEST
BEST,BEST,BETTER,BETTER,BEST,BEST,BEST
BEST,BEST,BETTER,BETTER,BEST,BETTER,BEST
BEST,BEST,BETTER,BETTER,BEST,BETTER,BEST
BEST,BEST,BETTER,BETTER,BEST,BETTER,BEST
BEST,BEST,BETTER,BETTER,BEST,BETTER,BEST
BEST,BEST,BETTER,BETTER,BEST,BETTER,BEST
BEST,BEST,BETTER,BETTER,BEST,BETTER,BEST
BEST,BEST,BETTER,BETTER,BEST,BETTER,BEST
